"","Substance","CAS","Orange","ToxCast","Tox21","ExpoCast","NHANES","MW","Expo.Total_median","Expo.Total_95perc","Boiling.Point.Ave.exp","Boiling.Point.Ave.prd","Boiling.Point.Med.exp","Boiling.Point.Med.prd","Boiling.Point.Rng.exp","Boiling.Point.Rng.prd","Boiling.Point.Deg","LogP.Ave.exp","LogP.Ave.prd","LogP.Med.exp","LogP.Med.prd","LogP.Rng.exp","LogP.Rng.prd","LogP","Type","Rev.CAS"
"434","Terfenadine","50679-08-8",0,NA,1,1,NA,471.67,3.29e-07,2.23e-05,NA,"449 (3)",NA,449,NA,"339 to 580","C",NA,"5.41 (4)",NA,5.41,NA,"3.66 to 7.62",7.62,"EST","0"
"435","Propafenone","54063-53-5",0,NA,1,1,NA,341.448,3.15e-08,4.81e-06,NA,"378 (3)",NA,378,NA,"310 to 464","C",NA,"3.39 (4)",NA,3.39,NA,"2.65 to 4.28",3.37,"EST","0"
"436","Quinine·HCl·2H2O","6119-47-7",0,NA,1,1,NA,396.91,5.28e-08,4.94e-06,NA,"329 (2)",NA,329,NA,"317 to 342","C",NA,"2.65 (3)",NA,2.65,NA,"1.57 to 3.53",NA,NA,"0"
"437","ibutilide fumarate","122647-32-9",0,NA,1,1,NA,442.61,7.25e-07,4.54e-05,NA,NA,NA,NA,NA,NA,NA,NA,"3.87 (1)",NA,3.87,NA,NA,NA,NA,"0"
"438","sotalol hydrochloride","959-24-0",0,NA,1,1,NA,308.82,1.92e-07,1.61e-05,NA,"311 (2)",NA,311,NA,"289 to 333","C",NA,"5.59e-01 (3)",NA,0.559,NA,"-0.327 to 1.72",0.24,"EXP","0"
"439","moxifloxacin hydrochloride","186826-86-8",0,NA,1,1,NA,437.89,3.16e-07,2.08e-05,"636 (2)","328 (2)",636,328,"636","311 to 346","C",NA,"8.12e-01 (3)",NA,0.812,NA,"7.75e-02 to 1.85",NA,NA,"0"
"440","lamotrigine","84057-84-1",0,NA,1,1,NA,256.09,1.83e-07,1.19e-05,NA,"364 (3)",NA,364,NA,"311 to 450","C","2.57 (1)","1.51 (4)",2.57,1.51,2.57,"0.99 to 2.33",NA,NA,"0"
"441","dofetilide","115256-11-6",0,NA,1,1,NA,441.56,2.88e-07,2.43e-05,NA,"400 (3)",NA,400,NA,"275 to 583","C",NA,"1.64 (4)",NA,1.64,NA,"1.22e-01 to 2.52",NA,NA,"0"
"442","Progesterone","57-83-0",0,1,1,1,NA,314.46,3.93e-08,3.81e-06,NA,"365 (3)",NA,365,NA,"326 to 396","C","3.87 (1)","3.73 (4)",3.87,3.73,3.87,"3.58 to 3.97",3.87,"EXP","0"
"443","Tamoxifen citrate","54965-24-1",0,1,1,1,NA,563.64,7.16e-08,8.3e-06,NA,"379 (2)",NA,379,NA,"344 to 415","C",NA,"5.15 (3)",NA,5.15,NA,"3.95 to 6.31",NA,NA,"0"
"444","Tamoxifen","10540-29-1",0,1,1,1,NA,371.51,4.05e-08,4.65e-06,NA,"409 (3)",NA,409,NA,"344 to 468","C",NA,"5.44 (4)",NA,5.44,NA,"3.95 to 6.31",6.3,"EST","0"
"445","4-Hydroxytamoxifen (E/Z)","68392-35-8",0,1,1,1,NA,387.51,2.97e-07,2.02e-05,NA,"425 (3)",NA,425,NA,"349 to 503","C",NA,"4.55 (4)",NA,4.55,NA,"3.35 to 5.82",NA,NA,"0"
"446","Spironolactone","52-01-7",0,1,1,1,NA,416.57,4.72e-08,5.9e-06,NA,"431 (3)",NA,431,NA,"341 to 530","C","2.78 (1)","2.90 (4)",2.78,2.9,2.78,"2.50 to 3.56",2.78,"EXP","0"
"447","Procymidone","32809-16-8",0,1,1,1,NA,284.14,9.12e-08,6.38e-06,NA,"380 (3)",NA,380,NA,"310 to 442","C","3.08 (1)","2.93 (4)",3.08,2.93,3.08,"2.59 to 3.33",3.08,"EXP","0"
"448","Phenobarbital Sodium","57-30-7",0,1,1,1,NA,254.22,1.66e-07,1.01e-05,NA,"445 (3)",NA,445,NA,"274 to 752","C",NA,"4.23e-02 (4)",NA,0.0423,NA,"-2.29 to 1.16",NA,NA,"0"
"449","Ketoconazole","65277-42-1",0,1,1,1,NA,531.43,5.47e-08,5.22e-06,NA,"455 (3)",NA,455,NA,"310 to 670","C","4.35 (1)","3.46 (4)",4.35,3.46,4.35,"2.86 to 4.45",4.35,"EXP","0"
"450","Hydroxyflutamide","52806-53-8",0,1,1,1,NA,292.21,1.97e-07,1.54e-05,NA,"331 (3)",NA,331,NA,"290 to 411","C","2.70 (1)","2.58 (4)",2.7,2.58,2.7,"2.35 to 2.80",2.7,"EXP","0"
"451","Haloperidol","52-86-8",0,1,1,1,NA,375.86,3.92e-08,5.29e-06,NA,"398 (3)",NA,398,NA,"339 to 461","C","4.30 (1)","3.74 (4)",4.3,3.74,4.3,"3.28 to 4.20",4.3,"EXP","0"
"452","Flutamide","13311-84-7",0,1,1,1,NA,276.21,3.39e-08,3.89e-06,NA,"326 (3)",NA,326,NA,"289 to 381","C","3.35 (1)","3.22 (4)",3.35,3.22,3.35,"2.95 to 3.51",3.35,"EXP","0"
"453","Cycloheximide","66-81-9",0,1,1,1,NA,281.35,1.6e-08,1.46e-06,NA,"406 (3)",NA,406,NA,"300 to 555","C","0.55 (1)","4.81e-01 (4)",0.55,0.481,0.55,"0.08 to 9.56e-01",0.55,"EXP","0"
"454","Corticosterone","50-22-6",0,1,1,1,NA,346.46,2.82e-07,1.66e-05,NA,"421 (3)",NA,421,NA,"386 to 476","C","1.94 (1)","2.04 (4)",1.94,2.04,1.94,"1.89 to 2.20",1.94,"EXP","0"
"455","p-n-Nonylphenol","104-40-5",0,1,1,1,NA,220.35,8.72e-07,5.35e-05,"129 (2)","309 (3)",129,309,"127 to 130","275 to 329","C","5.76 (1)","5.84 (4)",5.76,5.84,5.76,"5.06 to 6.19",5.76,"EXP","0"
"456","Ethylparaben","120-47-8",0,1,1,1,1,166.17,1.1e-05,0.00123,"298 (3)","282 (3)",298,282,"297 to 298","269 to 293","C","2.47 (1)","2.34 (4)",2.47,2.34,2.47,"2.14 to 2.58",2.47,"EXP","0"
"457","17alpha-Methyltestosterone","58-18-4",0,1,1,1,NA,302.45,2.61e-07,1.94e-05,NA,"355 (3)",NA,355,NA,"295 to 390","C","3.36 (1)","3.46 (4)",3.36,3.46,3.36,"3.31 to 3.72",3.36,"EXP","0"
"458","Genistein","446-72-0",0,1,1,1,NA,270.24,2.1e-07,1.26e-05,"556 (1)","397 (3)",556,397,"556","338 to 464","C",NA,"2.44 (4)",NA,2.44,NA,"1.78 to 2.84",2.84,"EST","0"
"459","Daidzein","486-66-8",0,1,1,1,1,254.24,2.07e-07,1.13e-05,NA,"394 (3)",NA,394,NA,"352 to 430","C",NA,"2.55 (4)",NA,2.55,NA,"1.74 to 2.99",2.55,"EST","0"
"460","Bisphenol B","77-40-7",0,1,1,1,NA,242.31,1.66e-07,1.21e-05,NA,"354 (3)",NA,354,NA,"337 to 375","C",NA,"3.66 (4)",NA,3.66,NA,"3.05 to 4.13",4.13,"EST","0"
"461","5alpha-Dihydrotestosterone","521-18-6",0,1,1,1,NA,290.44,2.06e-07,1.72e-05,NA,"360 (3)",NA,360,NA,"288 to 406","C","3.55 (1)","3.42 (4)",3.55,3.42,3.55,"3.07 to 3.68",3.55,"EXP","0"
"462","4-Cumylphenol","599-64-4",0,1,1,1,NA,212.29,5.34e-07,5.58e-05,"263 (4)","318 (3)",191,318,"189 to 335","311 to 328","C",NA,"3.88 (4)",NA,3.88,NA,"3.14 to 4.39",NA,NA,"0"
"463","Estrone","53-16-7",0,1,1,1,NA,270.37,2.88e-08,3.42e-06,NA,"355 (3)",NA,355,NA,"335 to 392","C","3.13 (1)","3.20 (4)",3.13,3.2,3.13,"2.61 to 3.54",3.13,"EXP","0"
"464","4-tert-Octylphenol","140-66-9",0,1,1,1,1,206.32,7.55e-05,0.00488,NA,"278 (3)",NA,278,NA,"269 to 283","C",NA,"4.83 (4)",NA,4.83,NA,"4.40 to 5.28",5.28,"EST","0"
"465","17alpha-Estradiol","57-91-0",0,1,1,1,NA,272.38,1.98e-07,1.15e-05,NA,"368 (3)",NA,368,NA,"336 to 395","C",NA,"3.34 (4)",NA,3.34,NA,"2.79 to 3.94",3.94,"EST","0"
"466","meso-Hexestrol","84-16-2",0,1,1,1,NA,270.37,1.87e-07,1.19e-05,NA,"375 (3)",NA,375,NA,"356 to 396","C",NA,"4.40 (4)",NA,4.4,NA,"3.75 to 5.60",5.6,"EST","0"
"467","17alpha-Ethinyl estradiol","57-63-6",0,1,1,1,NA,296.4,3.38e-08,3.07e-06,NA,"377 (3)",NA,377,NA,"337 to 411","C","3.67 (1)","3.59 (4)",3.67,3.59,3.67,"3.16 to 4.12",3.67,"EXP","0"
"468","Kaempferol","520-18-3",0,NA,1,1,NA,286.24,1.97e-07,1.63e-05,"582 (1)","409 (3)",582,409,"582","334 to 513","C",NA,"1.84 (4)",NA,1.84,NA,"5.22e-01 to 2.38",1.96,"EST","0"
"469","Chrysin","480-40-0",0,NA,1,1,NA,254.24,1.65e-07,1.44e-05,NA,"383 (3)",NA,383,NA,"329 to 430","C","3.52 (1)","3.00 (4)",3.52,3,3.52,"2.53 to 3.32",3.52,"EXP","0"
"470","Apigenin","520-36-5",0,NA,1,1,NA,270.24,1.74e-07,1.36e-05,"556 (1)","394 (3)",556,394,"556","329 to 464","C","3.02 (1)","2.52 (4)",3.02,2.52,3.02,"2.06 to 2.84",3.02,"EXP","0"
"471","Methimazole","60-56-0",0,1,1,1,NA,114.17,3.68e-08,1.7e-06,"280 (5)","279 (3)",280,279,"280","258 to 300","C","-0.340 (1)","-0.101 (4)",-0.34,-0.101,-0.34,"-0.490 to 5.42e-01",-0.34,"EXP","0"
"472","Benzophenone 2","131-55-5",0,1,1,1,NA,246.22,2.31e-07,2.49e-05,NA,"391 (3)",NA,391,NA,"356 to 444","C",NA,"2.12 (4)",NA,2.12,NA,"1.53 to 2.78",NA,NA,"0"
"473","Z-Tetrachlorvinphos","22248-79-9",0,NA,1,1,1,365.9631,1.26e-07,7.77e-06,NA,"360 (3)",NA,360,NA,"315 to 393","C","3.53 (1)","3.60 (4)",3.53,3.6,3.53,"3.29 to 3.93",3.53,"EXP","0"
"474","Levothyroxine (T4)","51-48-9",0,NA,1,1,NA,776.87,5.31e-07,3.98e-05,NA,"528 (3)",NA,528,NA,"415 to 676","C",NA,"4.49 (4)",NA,4.49,NA,"2.61 to 6.87",4.12,"EST","0"
"475","Iopanoic acid","96-83-3",0,NA,1,1,NA,570.93,4.34e-07,2.92e-05,"529 (1)","423 (3)",529,423,"529","380 to 498","C",NA,"4.65 (4)",NA,4.65,NA,"3.89 to 5.78",5.78,"EST","0"
"476","ARSENIC","7440-38-2",0,NA,NA,NA,NA,74.92,NA,NA,NA,"473 (1)",NA,473,NA,NA,"C",NA,"0.68 (1)",NA,0.68,NA,NA,NA,NA,"0"
"477","MERCURY","7439-97-6",0,NA,NA,NA,1,200.59,NA,NA,"357 (2)","502 (1)",357,502,"357",NA,"C",NA,"0.62 (1)",NA,0.62,NA,NA,NA,NA,"0"
"478","VINYL CHLORIDE","75-01-4",0,NA,NA,NA,1,62.5,NA,NA,"-13.6 (4)","-10.3 (3)",-13.9,-10.3,"-13.9 to -13.4","-19.3 to 3.97","C",NA,"1.41 (3)",NA,1.41,NA,"1.16 to 1.62",1.62,"EST","0"
"479","POLYCYCLIC AROMATIC HYDROCARBONS","130498-29-2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"480","AROCLOR 1254","11097-69-1",0,NA,NA,NA,NA,326.4365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,"EXP","0"
"481","PHOSPHORUS, WHITE","7723-14-0",0,NA,NA,NA,NA,30.97,NA,NA,"280 (1)","468 (1)",280,468,"280",NA,"C",NA,"-0.270 (1)",NA,-0.27,NA,NA,NA,NA,"0"
"482","AROCLOR 1242","53469-21-9",0,NA,NA,NA,NA,260.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.34,"EST","0"
"483","COAL TAR CREOSOTE","8001-58-9",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"484","AROCLOR 1248","12672-29-6",0,NA,NA,NA,NA,291.9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,"EXP","0"
"485","AROCLOR","12767-79-2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"486","CYANIDE","57-12-5",0,NA,NA,NA,1,26.018,NA,NA,NA,"20.9 (2)",NA,20.9,NA,"2.72 to 39.1","C",NA,"-0.234 (2)",NA,-0.234,NA,"-0.296 to -0.172",NA,NA,"0"
"487","HEXACHLOROCYCLOHEXANE, DELTA-","319-86-8",0,NA,NA,NA,NA,290.83,NA,NA,NA,"283 (3)",NA,283,NA,"245 to 304","C","3.72 (1)","3.90 (3)",3.72,3.9,3.72,"3.63 to 4.26",4.14,"EXP","0"
"488","BERYLLIUM","7440-41-7",0,NA,NA,NA,1,9.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"489","AROCLOR 1221","11104-28-2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,"EXP","0"
"490","CIS-CHLORDANE","5103-71-9",0,NA,NA,NA,NA,409.78,NA,NA,NA,"333 (2)",NA,333,NA,"329 to 338","C","6.16 (1)","6.09 (2)",6.16,6.09,6.16,"6.05 to 6.13",6.1,"EXP","0"
"491","ENDRIN KETONE","53494-70-5",0,NA,NA,NA,NA,380.91,NA,NA,NA,"332 (1)",NA,332,NA,NA,"C",NA,"5.60 (1)",NA,5.6,NA,NA,NA,NA,"0"
"492","DIBROMOCHLOROPROPANE","67708-83-2",0,NA,NA,NA,NA,236.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"493","TRANS-CHLORDANE","5103-74-2",0,NA,NA,NA,NA,406.93,NA,NA,NA,"333 (2)",NA,333,NA,"329 to 338","C",NA,"6.09 (2)",NA,6.09,NA,"6.05 to 6.13",6.22,"EXP","0"
"494","ENDOSULFAN, BETA","33213-65-9",0,NA,NA,NA,NA,406.93,NA,NA,NA,"366 (3)",NA,366,NA,"332 to 401","C",NA,"3.65 (3)",NA,3.65,NA,"3.50 to 3.88",3.83,"EST","0"
"495","CHROMIUM(VI) TRIOXIDE","1333-82-0",0,NA,NA,NA,NA,99.99,NA,NA,"250 (2)","564 (1)",250,564,"250",NA,"C",NA,"2.23 (1)",NA,2.23,NA,NA,NA,NA,"0"
"496","AROCLOR 1232","11141-16-5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,"EST","0"
"497","ENDRIN ALDEHYDE","7421-93-4",0,NA,NA,NA,NA,380.91,NA,NA,NA,"350 (3)",NA,350,NA,"331 to 379","C",NA,"4.70 (3)",NA,4.7,NA,"4.12 to 5.63",4.8,"EST","0"
"498","METHANE","74-82-8",0,NA,NA,NA,NA,16.04,NA,NA,"-163 (2)","-81.9 (3)",-164,-81.9,"-164","-139 to -44.5","C",NA,"3.35e-01 (3)",NA,0.335,NA,"-0.476 to 0.78",1.09,"EXP","0"
"499","2-HEXANONE","591-78-6",0,NA,NA,NA,NA,100.16,NA,NA,"127 (5)","123 (3)",127,123,"126 to 128","119 to 127","C","1.38 (1)","1.29 (3)",1.38,1.29,1.38,"1.20 to 1.42",1.38,"EXP","0"
"500","BENZOFLUORANTHENE","56832-73-6",0,NA,NA,NA,NA,252.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"501","CHROMIUM","7440-47-3",0,NA,NA,NA,NA,52,NA,NA,"2640 (2)","483 (1)",2640,483,"2640",NA,"C",NA,"0.23 (1)",NA,0.23,NA,NA,NA,NA,"0"
"502","AROCLOR 1240","71328-89-7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"503","2,4,6-TRINITROTOLUENE","118-96-7",0,NA,NA,NA,NA,227.13,NA,NA,"240 (2)","330 (3)",240,330,"240","309 to 365","C","1.60 (1)","1.90 (3)",1.6,1.9,1.6,"1.66 to 2.05",1.6,"EXP","0"
"504","BROMODICHLOROETHANE","683-53-4",0,NA,NA,NA,NA,177.856,NA,NA,NA,"141 (3)",NA,141,NA,"141 to 143","C",NA,"2.27 (3)",NA,2.27,NA,"2.10 to 2.47",NA,NA,"0"
"505","THIOCYANATE","302-04-5",0,NA,NA,1,1,58.084,4.7e-08,2.44e-06,NA,"110 (3)",NA,110,NA,"61.5 to 138","C",NA,"1.07 (3)",NA,1.07,NA,"0.58 to 1.33",NA,NA,"0"
"506","ASBESTOS","1332-21-4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"507","RADIUM-226","13982-63-3",0,NA,NA,NA,NA,226.0254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"508","URANIUM","7440-61-1",0,NA,NA,NA,1,238.03,NA,NA,"3820 (2)","483 (1)",3820,483,"3810 to 3820",NA,"C",NA,"0.23 (1)",NA,0.23,NA,NA,NA,NA,"0"
"509","RADIUM","7440-14-4",0,NA,NA,NA,NA,226.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"510","THORIUM","7440-29-1",0,NA,NA,NA,NA,232.04,NA,NA,NA,"483 (1)",NA,483,NA,NA,"C",NA,"0.23 (1)",NA,0.23,NA,NA,NA,NA,"0"
"511","CHLORINE","7782-50-5",0,NA,NA,NA,NA,70.91,NA,NA,"-33.9 (1)","473 (1)",-33.9,473,"-33.9",NA,"C",NA,"0.85 (1)",NA,0.85,NA,NA,NA,NA,"0"
"512","1,3,5-TRINITROBENZENE","99-35-4",0,NA,NA,NA,NA,213.1,NA,NA,"315 (1)","323 (3)",315,323,"315","305 to 354","C","1.18 (1)","1.60 (3)",1.18,1.6,1.18,"1.45 to 1.80",1.18,"EXP","0"
"513","RADON","10043-92-2",0,NA,NA,NA,NA,222.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"514","RADIUM-228","15262-20-1",0,NA,NA,NA,NA,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"515","THORIUM-230","14269-63-7",0,NA,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"516","URANIUM-235","15117-96-1",0,NA,NA,NA,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"517","THORIUM-228","14274-82-9",0,NA,NA,NA,NA,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"518","URANIUM-234","13966-29-5",0,NA,NA,NA,NA,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"519","RADON-222","14859-67-7",0,NA,NA,NA,NA,222,NA,NA,"-62.0 (1)","483 (1)",-62,483,"-62",NA,"C",NA,"1.51 (1)",NA,1.51,NA,NA,NA,NA,"0"
"520","COAL TARS","8007-45-2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"521","COPPER","7440-50-8",0,NA,NA,NA,1,63.55,NA,NA,"2600 (1)","483 (1)",2600,483,"2600",NA,"C",NA,"-0.570 (1)",NA,-0.57,NA,NA,NA,NA,"0"
"522","CHRYSOTILE ASBESTOS","12001-29-5",0,NA,NA,NA,NA,277.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"523","PLUTONIUM-239","15117-48-3",0,NA,NA,NA,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"524","POLONIUM-210","13981-52-7",0,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"525","PLUTONIUM-238","13981-16-3",0,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"526","LEAD-210","14255-04-0",0,NA,NA,NA,NA,210,NA,NA,NA,"485 (1)",NA,485,NA,NA,"C",NA,"0.73 (1)",NA,0.73,NA,NA,NA,NA,"0"
"527","AMOSITE ASBESTOS","12172-73-5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"528","STRONTIUM-90","10098-97-2",0,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"529","PLUTONIUM","7440-07-5",0,NA,NA,NA,NA,239.05,NA,NA,NA,"483",NA,483,NA,NA,"C",NA,"0.23(1)",NA,0.23,NA,NA,NA,NA,"1"
"530","RADON-220","22481-48-7",0,NA,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"531","AMERICIUM-241","86954-36-1",0,NA,NA,NA,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"532","BARIUM","7440-39-3",0,NA,NA,NA,1,137.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"533","NEPTUNIUM-237","13994-20-2",0,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"534","HYDROGEN CYANIDE","74-90-8",0,NA,NA,NA,NA,27.0259,NA,NA,"25.6 (2)","30.2 (3)",25.6,30.2,"25.6","2.72 to 48.7","C","-0.250 (1)","-0.386 (3)",-0.25,-0.386,-0.25,"-0.690 to -0.172",-0.25,"EXP","0"
"535","PLUTONIUM-240","14119-33-6",0,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"536","MANGANESE","7439-96-5",0,NA,NA,NA,1,54.94,NA,NA,"2030 (2)","483 (1)",2030,483,"1960 to 2100",NA,"C",NA,"0.23 (1)",NA,0.23,NA,NA,NA,NA,"0"
"537","POLYBROMINATED BIPHENYLS","67774-32-7",0,NA,NA,NA,NA,633.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"538","SELENIUM","7782-49-2",0,NA,NA,NA,1,78.96,NA,NA,"685 (1)","484 (1)",685,484,"685",NA,"C",NA,"0.24 (1)",NA,0.24,NA,NA,NA,NA,"0"
"539","HEPTACHLORODIBENZO-P-DIOXIN","37871-00-4",0,NA,NA,NA,NA,426.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,"EST","0"
"540","TRICHLOROFLUOROETHANE","27154-33-2",0,NA,NA,NA,NA,153.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"541","BROMINE","7726-95-6",0,NA,NA,NA,NA,159.81,NA,NA,"59.1 (2)","513 (1)",59.1,513,"58.8 to 59.4",NA,"C",NA,"1.03 (1)",NA,1.03,NA,NA,NA,NA,"0"
"542","AROCLOR 1268","11100-14-4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"543","1,3-BUTADIENE","106-99-0",0,NA,NA,NA,1,54.09,NA,NA,"-2.34 (4)","7.84 (3)",-4.44,7.84,"-5.00 to 4.50","1.84 to 15.6","C","1.99 (2)","1.95 (3)",1.99,1.95,1.99,"1.88 to 2.03",1.99,"EXP","0"
"544","HEPTACHLORODIBENZOFURAN","38998-75-3",0,NA,NA,NA,NA,409.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"545","AMMONIA","7664-41-7",0,NA,NA,NA,NA,17.03,NA,NA,"-33.3 (1)","603 (1)",-33.3,603,"-33.3",NA,"C",NA,"0.23 (1)",NA,0.23,NA,NA,NA,NA,"0"
"546","TRICHLOROETHANE","25323-89-1",0,NA,NA,NA,NA,135.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01,"EST","0"
"547","TETRACHLOROBIPHENYL","26914-33-0",0,NA,NA,NA,NA,296.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.34,"EST","0"
"548","OXYCHLORDANE","27304-13-8",0,NA,NA,NA,1,423.765,NA,NA,"353 (1)","349 (2)",353,349,"353","346 to 352","C",NA,"5.47 (2)",NA,5.47,NA,"5.16 to 5.79",5.48,"EST","0"
"549","PALLADIUM","7440-05-3",0,NA,NA,NA,NA,106.42,NA,NA,NA,"483",NA,483,NA,NA,"C",NA,"0.23(1)",NA,0.23,NA,NA,NA,NA,"1"
"550","GAMMA-CHLORDENE","56641-38-4",0,NA,NA,NA,NA,338.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.44,"EXP","0"
"551","TETRACHLOROPHENOL","25167-83-3",0,NA,NA,NA,NA,235.9244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09,"EST","0"
"552","CHLOROETHANE","75-00-3",0,NA,NA,NA,NA,64.51,NA,NA,"12.3 (4)","18.9 (3)",12.3,18.9,"12.2 to 12.3","8.50 to 37.6","C","1.43 (1)","1.52 (3)",1.43,1.52,1.43,"1.41 to 1.58",1.43,"EXP","0"
"553","ALUMINUM","7429-90-5",0,NA,NA,NA,NA,26.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"554","CARBON MONOXIDE","630-08-0",0,NA,NA,NA,NA,28.01,NA,NA,"-192 (2)","-22.0 (2)",-192,-22,"-192","-24.0 to -19.9","C",NA,"-0.0916 (2)",NA,-0.0916,NA,"-0.421 to 2.37e-01",NA,NA,"0"
"555","BUTYL METHYL PHTHALATE","34006-76-3",0,NA,NA,NA,NA,236.2654,NA,NA,NA,"308 (3)",NA,308,NA,"297 to 324","C",NA,"3.19 (3)",NA,3.19,NA,"2.53 to 3.89",NA,NA,"0"
"556","CHLOROMETHANE","74-87-3",0,NA,NA,NA,NA,50.49,NA,NA,"-24.2 (4)","-12.1 (3)",-24.2,-12.1,"-24.4 to -24.2","-25.1 to 10.9","C","0.91 (1)","1.01 (3)",0.91,1.01,0.91,"9.64e-01 to 1.09",0.91,"EXP","0"
